row,uri,label,resource,dbpl,score,combined,editdist,altLabel,definition
89,http://purl.dataone.org/odo/ECSO_00000507,Natural experiment,http://dbpedia.org/resource/Natural_experiment,Natural experiment,1.7917595,17.917595,0,Natural experiment,"A natural experiment is an empirical study in which individuals (or clusters of individuals) exposed to the experimental and control conditions are determined by nature or by other factors outside the control of the investigators, yet the process governing the exposures arguably resembles random assignment. Thus, natural experiments are observational studies and are not controlled in the traditional sense of a randomized experiment."
88,http://purl.dataone.org/odo/ECSO_00000507,Natural experiment,http://dbpedia.org/resource/Natural_experiment,Natural experiment,1.7917595,17.917595,0,Experimento natural,"A natural experiment is an empirical study in which individuals (or clusters of individuals) exposed to the experimental and control conditions are determined by nature or by other factors outside the control of the investigators, yet the process governing the exposures arguably resembles random assignment. Thus, natural experiments are observational studies and are not controlled in the traditional sense of a randomized experiment."
87,http://purl.dataone.org/odo/ECSO_00000507,Natural experiment,http://dbpedia.org/resource/Natural_experiment,Natural experiment,1.7917595,17.917595,0,Natural experiments,"A natural experiment is an empirical study in which individuals (or clusters of individuals) exposed to the experimental and control conditions are determined by nature or by other factors outside the control of the investigators, yet the process governing the exposures arguably resembles random assignment. Thus, natural experiments are observational studies and are not controlled in the traditional sense of a randomized experiment."
0,http://purl.dataone.org/odo/ECSO_00000570,Algae,http://dbpedia.org/resource/Algae,Algae,1.3862944,13.862944,0,Algæ,"""Alga"" redirects here. For places called Alga, see Alga (disambiguation). For other uses, see Algae (disambiguation).Algae (/ˈældʒiː/ or /ˈælɡiː/; singular alga /ˈælɡə/) is an informal term for a large, diverse group of eukaryotes that are not necessarily closely related and are thus polyphyletic. Included organisms range from unicellular genera, such as Chlorella and the diatoms, to multicellular forms, such as the giant kelp, a large brown alga that may grow up to 50 meters in length."
367,http://purl.dataone.org/odo/ECSO_00000316,Liquid,http://dbpedia.org/resource/Liquid,Liquid,1.3862944,13.862944,0,Liquid phase,"A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure. As such, it is one of the four fundamental states of matter (the others being solid, gas, and plasma), and is the only state with a definite volume but no fixed shape. A liquid is made up of tiny vibrating particles of matter, such as atoms, held together by intermolecular bonds. Water is, by far, the most common liquid on Earth."
377,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacterias,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
376,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacterial Index (BI),"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
375,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacteriae,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
374,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacterial motility,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
373,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Schizomycet,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
