No.,Dataset ID,Link,Dataset Title,Above Ground Net Primary Productivity,Heterotrophic Soil Respiration at the Ecosystem Level,Amount of Carbon (grams) in Soil Microbial Communities,Areal CO2 Uptake Rate by Natural Phytoplankton Communities,"Concentration of Carbonate Species in the Ocean (CO2, Bicarbonate, Carbonate)",Rate of Release of Carbon Dioxide from Soil,Uptake of CO2 in Grassland when CO2 is Experimentally Added,Areal Rate of Methane Release from Soil,Annual Rate of Net Primary Production for Coastal Macroalgae,CO2 Absorption by the Ocean,Taxonomical Identity,Meteorological/Clmate Data Information,Geospatial Information,,,,,,,,,,
1,knb-lter-and.2742,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-and.2742,Tree growth and mortality measurements in long-term permanent vegetation plots in the Pacific Northwest (LTER Reference Stands),Measurements of tree growth may possibly be converted to NPP,,,,,,,,,,Taxonomy included,,"Spatial info, but not clearly lat and long",,,,,,,,,,
2,knb-lter-and.2745,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-and.2745,"Soil descriptions and data for soil profiles in the Andrews Experimental Forest, selected reference stands, Research Natural Areas, and National Parks",,,,,,,,,,,Community-level data recorded,,"Spatial info, but not clearly lat and long",,,,,,,,,,
3,knb-lter-and.3113,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-and.3113,The relationship between early succession rates and soil properties in the Andrews Experimental Forest,,Lab and field based measurements of respiration,B-glucosidase measurement of microbial activity may be useful,,,Lab and field based measurements of respiration,,,,,,,"Site ane treatment location, not clearly lat and long",,,,,,,,,,
4,knb-lter-and.3126,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-and.3126,Conversion factors to predict the volume of the tree bole that is converted to forest products in the Pacific Northwest (1993),,,,,,,,,,,Taxonomy included,,Coarse (state level) location data,,,,,,,,,,
5,knb-lter-and.3143,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-and.3143,Dendrometer studies for stand volume and height measurements of trees of the western US,Measurements of tree volume may be converted to primary production,,,,,,,,,,Taxonomy included,,Coarse (site level) location data,,,,,,,,,,
6,knb-lter-and.3145,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-and.3145,"Species interactions during succession in the western Cascade Range of Oregon, 1990 to present",Biomass recorded over time may be useful for NPP aboveground,,,,,,,,,,Taxonomy included,,Coarse (site level) location data,,,,,,,,,,
7,knb-lter-and.3167,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-and.3167,"Seasonal relationships between soil respiration and water-extractable carbon as influenced by soil temperature and moisture in forest soils of the Andrews Experimental Forest, 1992-1993",,Lab and field based measurements of respiration,,,,Lab and field based measurements of respiration,,Measurement of methane production,,,Primary vegetaion described,,Coarse (site level) location data,,,,,,,,,,
8,knb-lter-and.3186,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-and.3186,Andrews Experimental Forest Reference Stand component litterfall study,,,,,,,,,,,,,Coarse (site level) location data,,,,,,,,,,
9,knb-lter-and.3189,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-and.3189,Stream cross-section profiles in the Andrews Experimental Forest and Hagan Block RNA 1978 to present,,,,,,,,,,,Taxonomy included,,Coarse (site level) location data,,,,,,,,,,
10,knb-lter-and.3213,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-and.3213,Post-logging community structure and biomass accumulation in Andrews Experimental Forest Watershed 10,Measurements of tree volume may be converted to primary production,,,,,,,,,,Taxonomy included,,Coarse (site level) location data,,,,,,,,,,
11,knb-lter-and.3215,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-and.3215,A study of selected ecosystem parameters potentially sensitive to air pollutants in the Olympic Peninsula,,,,,,,,,,,,,Coarse (site level) location data,,,,,,,,,,
