No.,Dataset ID,Link,Dataset Title,Above Ground Net Primary Productivity,Heterotrophic Soil Respiration at the Ecosystem Level,Amount of Carbon (grams) in Soil Microbial Communities,Areal CO2 Uptake Rate by Natural Phytoplankton Communities,"Concentration of Carbonate Species in the Ocean (CO2, Bicarbonate, Carbonate)",Rate of Release of Carbon Dioxide from Soil,Uptake of CO2 in Grassland when CO2 is Experimentally Added,Areal Rate of Methane Release from Soil,Annual Rate of Net Primary Production for Coastal Macroalgae,CO2 Absorption by the Ocean,Taxonomical Identity,Meteorological/Climate Data Information,Geospatial Information
23,knb-lter-sbc.1001,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.1001,"CTD profiles from UNOLS cruises in the Santa Barbara Channel: LTER01, 2001-03-20 to 2001-03-26","The dataset is not related to Query 1 since the data is marine and not terrestrial, and as a result, cannot be ""above ground"".","The dataset is not related to Query 2 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 3 because the dataset does not pertain to ""soil microbial communities"".","The dataset is related to Query 4 because the the measurements ""14C light"" (phytoplankton carbon fixation into particulate matter), ""14C dark"" (phytoplankton carbon fixation into particulate matter, in the dark), and ""14C production"" (phytoplankton primary production) are available from the dataset.","The dataset is related to Query 5 because the the measurements ""Dissolved Oxygen [umol/kg]"", ""Dissolved Oxygen [umol/l]"", ""POC [umol/l] are available from the dataset.","The dataset is not related to Query 6 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 7 because the dataset is not measured in a ""grassland"" environment.","The dataset is not related to Query 8 because the dataset is not measured in a ""soil"" environment (it also does not have methane data).",The dataset is not related to Query 9 because the dataset does not contain annual NPP related data.,"The dataset can be related to Query 10 since ""POC [umol/l]"", ""14C light"", ""14C dark"", and ""14C production"" are part of the overall absorption. Phytoplankton production does draw down CO2 from the atmosphere to the ocean.",The dataset is not related to Query 11 because the dataset does not contain taxonomical information.,The dataset is not related to Query 12 because the dataset does not contain meteorological information.,GPS lat and long data for sites
24,knb-lter-sbc.1002,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.1002,"CTD profiles from UNOLS cruises in the Santa Barbara Channel: LTER02,2001-09-07 to 2001-09-15","The dataset is not related to Query 1 since the data is marine and not terrestrial, and as a result, cannot be ""above ground"".","The dataset is not related to Query 2 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 3 because the dataset does not pertain to ""soil microbial communities"".","The dataset is related to Query 4 because the the measurements ""14C light"" (phytoplankton carbon fixation into particulate matter), ""14C dark"" (phytoplankton carbon fixation into particulate matter, in the dark), and ""14C production"" (phytoplankton primary production) are available from the dataset.","The dataset is related to Query 5 because the the measurements ""Dissolved Oxygen [umol/kg]"", ""Dissolved Oxygen [umol/l]"", ""POC [umol/l] are available from the dataset.","The dataset is not related to Query 6 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 7 because the dataset is not measured in a ""grassland"" environment.","The dataset is not related to Query 8 because the dataset is not measured in a ""soil"" environment (it also does not have methane data).",The dataset is not related to Query 9 because the dataset does not contain annual NPP related data.,"The dataset can be related to Query 10 since ""POC [umol/l]"", ""14C light"", ""14C dark"", and ""14C production"" are part of the overall absorption. Phytoplankton production does draw down CO2 from the atmosphere to the ocean.",The dataset is not related to Query 11 because the dataset does not contain taxonomical information.,The dataset is not related to Query 12 because the dataset does not contain meteorological information.,GPS lat and long data for sites
25,knb-lter-sbc.1003,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.1003,"CTD profiles from UNOLS cruises in the Santa Barbara Channel: LTER03, 2002-02-18 to 2002-02-27","The dataset is not related to Query 1 since the data is marine and not terrestrial, and as a result, cannot be ""above ground"".","The dataset is not related to Query 2 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 3 because the dataset does not pertain to ""soil microbial communities"".","The dataset is related to Query 4 because the the measurements ""14C light"" (phytoplankton carbon fixation into particulate matter), ""14C dark"" (phytoplankton carbon fixation into particulate matter, in the dark), and ""14C production"" (phytoplankton primary production) are available from the dataset.","The dataset is related to Query 5 because the the measurements ""Dissolved Oxygen [umol/kg]"", ""Dissolved Oxygen [umol/l]"", ""POC [umol/l] are available from the dataset.","The dataset is not related to Query 6 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 7 because the dataset is not measured in a ""grassland"" environment.","The dataset is not related to Query 8 because the dataset is not measured in a ""soil"" environment (it also does not have methane data).",The dataset is not related to Query 9 because the dataset does not contain annual NPP related data.,"The dataset can be related to Query 10 since ""POC [umol/l]"", ""14C light"", ""14C dark"", and ""14C production"" are part of the overall absorption. Phytoplankton production does draw down CO2 from the atmosphere to the ocean.",The dataset is not related to Query 11 because the dataset does not contain taxonomical information.,The dataset is not related to Query 12 because the dataset does not contain meteorological information.,GPS lat and long data for sites
26,knb-lter-sbc.1004,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.1004,"CTD profiles from UNOLS cruises in the Santa Barbara Channel: LTER04, 2002-04-24 to 2002-05-03","The dataset is not related to Query 1 since the data is marine and not terrestrial, and as a result, cannot be ""above ground"".","The dataset is not related to Query 2 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 3 because the dataset does not pertain to ""soil microbial communities"".","The dataset is related to Query 4 because the the measurements ""14C light"" (phytoplankton carbon fixation into particulate matter), ""14C dark"" (phytoplankton carbon fixation into particulate matter, in the dark), and ""14C production"" (phytoplankton primary production) are available from the dataset.","The dataset is related to Query 5 because the the measurements ""Dissolved Oxygen [umol/kg]"", ""Dissolved Oxygen [umol/l]"", ""POC [umol/l] are available from the dataset.","The dataset is not related to Query 6 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 7 because the dataset is not measured in a ""grassland"" environment.","The dataset is not related to Query 8 because the dataset is not measured in a ""soil"" environment (it also does not have methane data).",The dataset is not related to Query 9 because the dataset does not contain annual NPP related data.,"The dataset can be related to Query 10 since ""POC [umol/l]"", ""14C light"", ""14C dark"", and ""14C production"" are part of the overall absorption. Phytoplankton production does draw down CO2 from the atmosphere to the ocean.",The dataset is not related to Query 11 because the dataset does not contain taxonomical information.,The dataset is not related to Query 12 because the dataset does not contain meteorological information.,GPS lat and long data for sites
27,knb-lter-sbc.1005,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.1005,"CTD profiles from UNOLS cruises in the Santa Barbara Channel: LTER05, 2002-09-03 to 2002-09-12","The dataset is not related to Query 1 since the data is marine and not terrestrial, and as a result, cannot be ""above ground"".","The dataset is not related to Query 2 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 3 because the dataset does not pertain to ""soil microbial communities"".","The dataset is related to Query 4 because the the measurements ""14C light"" (phytoplankton carbon fixation into particulate matter), ""14C dark"" (phytoplankton carbon fixation into particulate matter, in the dark), and ""14C production"" (phytoplankton primary production) are available from the dataset.","The dataset is related to Query 5 because the the measurements ""Dissolved Oxygen [umol/kg]"", ""Dissolved Oxygen [umol/l]"", ""POC [umol/l] are available from the dataset.","The dataset is not related to Query 6 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 7 because the dataset is not measured in a ""grassland"" environment.","The dataset is not related to Query 8 because the dataset is not measured in a ""soil"" environment (it also does not have methane data).",The dataset is not related to Query 9 because the dataset does not contain annual NPP related data.,"The dataset can be related to Query 10 since ""POC [umol/l]"", ""14C light"", ""14C dark"", and ""14C production"" are part of the overall absorption. Phytoplankton production does draw down CO2 from the atmosphere to the ocean.",The dataset is not related to Query 11 because the dataset does not contain taxonomical information.,The dataset is not related to Query 12 because the dataset does not contain meteorological information.,GPS lat and long data for sites
28,knb-lter-sbc.1006,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.1006,"CTD profiles from UNOLS cruises in the Santa Barbara Channel: LTER06, 2003-02-25 to 2003-03-06","The dataset is not related to Query 1 since the data is marine and not terrestrial, and as a result, cannot be ""above ground"".","The dataset is not related to Query 2 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 3 because the dataset does not pertain to ""soil microbial communities"".","The dataset is related to Query 4 because the the measurements ""14C light"" (phytoplankton carbon fixation into particulate matter), ""14C dark"" (phytoplankton carbon fixation into particulate matter, in the dark), and ""14C production"" (phytoplankton primary production) are available from the dataset.","The dataset is related to Query 5 because the the measurements ""Dissolved Oxygen [umol/kg]"", ""Dissolved Oxygen [umol/l]"", ""POC [umol/l] are available from the dataset.","The dataset is not related to Query 6 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 7 because the dataset is not measured in a ""grassland"" environment.","The dataset is not related to Query 8 because the dataset is not measured in a ""soil"" environment (it also does not have methane data).",The dataset is not related to Query 9 because the dataset does not contain annual NPP related data.,"The dataset can be related to Query 10 since ""POC [umol/l]"", ""14C light"", ""14C dark"", and ""14C production"" are part of the overall absorption. Phytoplankton production does draw down CO2 from the atmosphere to the ocean.",The dataset is not related to Query 11 because the dataset does not contain taxonomical information.,The dataset is not related to Query 12 because the dataset does not contain meteorological information.,GPS lat and long data for sites
29,knb-lter-sbc.1007,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.1007,"CTD profiles from UNOLS cruises in the Santa Barbara Channel: LTER07, 2003-05-14 to 2003-05-23","The dataset is not related to Query 1 since the data is marine and not terrestrial, and as a result, cannot be ""above ground"".","The dataset is not related to Query 2 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 3 because the dataset does not pertain to ""soil microbial communities"".","The dataset is related to Query 4 because the the measurements ""14C light"" (phytoplankton carbon fixation into particulate matter), ""14C dark"" (phytoplankton carbon fixation into particulate matter, in the dark), and ""14C production"" (phytoplankton primary production) are available from the dataset.","The dataset is related to Query 5 because the the measurements ""Dissolved Oxygen [umol/kg]"", ""Dissolved Oxygen [umol/l]"", ""POC [umol/l] are available from the dataset.","The dataset is not related to Query 6 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 7 because the dataset is not measured in a ""grassland"" environment.","The dataset is not related to Query 8 because the dataset is not measured in a ""soil"" environment (it also does not have methane data).",The dataset is not related to Query 9 because the dataset does not contain annual NPP related data.,"The dataset can be related to Query 10 since ""POC [umol/l]"", ""14C light"", ""14C dark"", and ""14C production"" are part of the overall absorption. Phytoplankton production does draw down CO2 from the atmosphere to the ocean.",The dataset is not related to Query 11 because the dataset does not contain taxonomical information.,The dataset is not related to Query 12 because the dataset does not contain meteorological information.,GPS lat and long data for sites
30,knb-lter-sbc.1008,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.1008,"CTD profiles from UNOLS cruises in the Santa Barbara Channel: LTER08, 2003-10-08 to 2003-10-17","The dataset is not related to Query 1 since the data is marine and not terrestrial, and as a result, cannot be ""above ground"".","The dataset is not related to Query 2 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 3 because the dataset does not pertain to ""soil microbial communities"".","The dataset is related to Query 4 because the the measurements ""14C light"" (phytoplankton carbon fixation into particulate matter), ""14C dark"" (phytoplankton carbon fixation into particulate matter, in the dark), and ""14C production"" (phytoplankton primary production) are available from the dataset.","The dataset is related to Query 5 because the the measurements ""Dissolved Oxygen [umol/kg]"", ""Dissolved Oxygen [umol/l]"", ""POC [umol/l] are available from the dataset.","The dataset is not related to Query 6 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 7 because the dataset is not measured in a ""grassland"" environment.","The dataset is not related to Query 8 because the dataset is not measured in a ""soil"" environment (it also does not have methane data).",The dataset is not related to Query 9 because the dataset does not contain annual NPP related data.,"The dataset can be related to Query 10 since ""POC [umol/l]"", ""14C light"", ""14C dark"", and ""14C production"" are part of the overall absorption. Phytoplankton production does draw down CO2 from the atmosphere to the ocean.",The dataset is not related to Query 11 because the dataset does not contain taxonomical information.,The dataset is not related to Query 12 because the dataset does not contain meteorological information.,GPS lat and long data for sites
31,knb-lter-sbc.1009,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.1009,"CTD profiles from UNOLS cruises in the Santa Barbara Channel: LTER09, 2004-02-24 to 2004-03-04","The dataset is not related to Query 1 since the data is marine and not terrestrial, and as a result, cannot be ""above ground"".","The dataset is not related to Query 2 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 3 because the dataset does not pertain to ""soil microbial communities"".","The dataset is related to Query 4 because the the measurements ""14C light"" (phytoplankton carbon fixation into particulate matter), ""14C dark"" (phytoplankton carbon fixation into particulate matter, in the dark), and ""14C production"" (phytoplankton primary production) are available from the dataset.","The dataset is related to Query 5 because the the measurements ""Dissolved Oxygen [umol/kg]"", ""Dissolved Oxygen [umol/l]"", ""POC [umol/l] are available from the dataset.","The dataset is not related to Query 6 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 7 because the dataset is not measured in a ""grassland"" environment.","The dataset is not related to Query 8 because the dataset is not measured in a ""soil"" environment (it also does not have methane data).",The dataset is not related to Query 9 because the dataset does not contain annual NPP related data.,"The dataset can be related to Query 10 since ""POC [umol/l]"", ""14C light"", ""14C dark"", and ""14C production"" are part of the overall absorption. Phytoplankton production does draw down CO2 from the atmosphere to the ocean.",The dataset is not related to Query 11 because the dataset does not contain taxonomical information.,The dataset is not related to Query 12 because the dataset does not contain meteorological information.,GPS lat and long data for sites
32,knb-lter-sbc.1010,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.1010,"CTD profiles from UNOLS cruises in the Santa Barbara Channel: LTER10, 2004-05-06 to 2004-05-13","The dataset is not related to Query 1 since the data is marine and not terrestrial, and as a result, cannot be ""above ground"".","The dataset is not related to Query 2 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 3 because the dataset does not pertain to ""soil microbial communities"".","The dataset is related to Query 4 because the the measurements ""14C light"" (phytoplankton carbon fixation into particulate matter), ""14C dark"" (phytoplankton carbon fixation into particulate matter, in the dark), and ""14C production"" (phytoplankton primary production) are available from the dataset.","The dataset is related to Query 5 because the the measurements ""Dissolved Oxygen [umol/kg]"", ""Dissolved Oxygen [umol/l]"", ""POC [umol/l] are available from the dataset.","The dataset is not related to Query 6 because the dataset is not measured in a ""soil"" environment.","The dataset is not related to Query 7 because the dataset is not measured in a ""grassland"" environment.","The dataset is not related to Query 8 because the dataset is not measured in a ""soil"" environment (it also does not have methane data).",The dataset is not related to Query 9 because the dataset does not contain annual NPP related data.,"The dataset can be related to Query 10 since ""POC [umol/l]"", ""14C light"", ""14C dark"", and ""14C production"" are part of the overall absorption. Phytoplankton production does draw down CO2 from the atmosphere to the ocean.",The dataset is not related to Query 11 because the dataset does not contain taxonomical information.,The dataset is not related to Query 12 because the dataset does not contain meteorological information.,GPS lat and long data for sites
